Type,Name,EdgeIdx,Src,Dst,Neighbor,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Edge,#MarkGeminiDragonMansGirl--karrinrachelle (e30),30,#MarkGeminiDragonMansGirl,karrinrachelle,#MarkGeminiDragonMansGirl,0.008329411037266254,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#MarknKarrin--karrinrachelle (e31),31,#MarknKarrin,karrinrachelle,#MarknKarrin,0.009124050848186016,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#Marrin--karrinrachelle (e32),32,#Marrin,karrinrachelle,#Marrin,0.009086346253752708,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#MarrinForever--karrinrachelle (e33),33,#MarrinForever,karrinrachelle,#MarrinForever,0.008962457068264484,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#MarrinLove--karrinrachelle (e34),34,#MarrinLove,karrinrachelle,#MarrinLove,0.009080667980015278,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#MarrinLovesChronicTacos--karrinrachelle (e35),35,#MarrinLovesChronicTacos,karrinrachelle,#MarrinLovesChronicTacos,0.0090632988139987,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#MyAmazon--karrinrachelle (e36),36,#MyAmazon,karrinrachelle,#MyAmazon,0.009149974212050438,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#MyAmazonWishList--karrinrachelle (e37),37,#MyAmazonWishList,karrinrachelle,#MyAmazonWishList,0.008952639997005463,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#NaturallyGorg--karrinrachelle (e38),38,#NaturallyGorg,karrinrachelle,#NaturallyGorg,0.009124952368438244,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#NaturallyPerf--karrinrachelle (e39),39,#NaturallyPerf,karrinrachelle,#NaturallyPerf,0.008783587254583836,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#PublicFigures--karrinrachelle (e40),40,#PublicFigures,karrinrachelle,#PublicFigures,0.008850219659507275,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#SteveRude--karrinrachelle (e41),41,#SteveRude,karrinrachelle,#SteveRude,0.009017206728458405,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#StuffKARRINRACHELLEloves--karrinrachelle (e42),42,#StuffKARRINRACHELLEloves,karrinrachelle,#StuffKARRINRACHELLEloves,0.008621756918728352,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
